"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
3,M,3.704532e+000,1.025771e+001,1.800000e+002,9.500000e+001,38,3.862564e-001,5.441658e+002,9.514251e+001,2.942646e+001,8.228922e-001,1.293430e+002,2.500000e+000,1.630807e+000,6.307122e-001
3,N,9.163841e+000,1.025771e+001,1.830000e+002,1.330000e+002,94,4.935044e-001,6.009891e+002,9.779468e+001,2.786052e+001,4.971676e-001,1.681516e+002,1.414894e+000,1.311113e+000,7.414893e-001
3,O,1.072364e+000,1.025771e+001,6.700000e+001,8.000000e+000,11,2.152890e-001,2.751688e+002,6.739011e+001,1.463796e+001,6.472211e-001,6.500000e+001,7.272727e-001,1.821763e+000,6.657247e-001
3,P,5.166847e+000,1.025771e+001,1.830000e+002,9.700000e+001,53,4.486322e-001,3.165712e+002,8.412271e+001,3.218825e+001,1.132438e+000,1.065618e+002,1.830189e+000,1.817599e+000,5.855273e-001
4,A,1.179601e+001,1.025771e+001,2.650000e+002,2.380000e+002,121,3.316690e-001,6.232430e+002,1.020493e+002,2.327608e+001,6.962039e-001,1.101136e+002,1.966942e+000,1.984025e+000,5.501124e-001
4,B,1.179601e+001,1.025771e+001,1.580000e+002,3.160000e+002,121,3.504552e-001,6.380726e+002,8.485608e+001,2.184369e+001,1.028647e+000,1.016566e+002,2.611570e+000,2.060563e+000,5.448485e-001
4,C,8.383940e+000,1.025771e+001,1.580000e+002,1.560000e+002,86,4.065385e-001,6.348399e+002,8.710135e+001,2.163786e+001,6.124014e-001,1.290913e+002,1.813953e+000,1.401076e+000,7.040142e-001
4,D,4.747650e+001,1.025771e+001,5.480000e+002,7.730000e+002,487,3.623361e-001,5.898842e+002,9.457438e+001,1.923582e+001,6.689181e-001,1.353666e+002,1.587269e+000,1.359256e+000,7.011518e-001
4,E,2.437192e+000,1.025771e+001,1.120000e+002,3.000000e+001,25,2.389016e-001,5.257415e+002,6.264218e+001,1.322952e+001,4.387896e-001,4.191533e+001,1.200000e+000,1.654975e+000,5.940549e-001
4,F,3.529054e+001,1.025771e+001,4.450000e+002,4.550000e+002,362,4.205691e-001,4.313002e+002,9.291922e+001,2.922088e+001,6.991267e-001,1.448715e+002,1.256906e+000,1.345335e+000,7.280115e-001
4,G,1.462315e+000,1.025771e+001,2.150000e+002,2.000000e+001,15,1.853607e-001,5.296129e+002,6.035119e+001,1.170841e+001,1.994046e-001,3.223111e+001,1.333333e+000,1.767662e+000,6.122589e-001
4,H,7.799014e-001,1.025771e+001,1.220000e+002,5.000000e+000,8,1.732547e-001,3.692181e+002,6.121607e+001,1.229306e+001,1.945479e-001,3.308333e+001,6.250000e-001,1.489184e+000,6.238921e-001
4,I,1.550054e+001,1.025771e+001,2.050000e+002,2.450000e+002,159,4.197634e-001,5.954628e+002,1.033768e+002,2.527027e+001,6.538750e-001,1.572334e+002,1.540881e+000,1.361268e+000,7.233506e-001
4,J,2.573675e+001,1.025771e+001,3.680000e+002,3.990000e+002,264,3.760077e-001,5.746768e+002,9.883791e+001,2.047174e+001,5.992295e-001,1.473814e+002,1.511364e+000,1.282184e+000,7.396647e-001
4,K,2.671162e+001,1.025771e+001,3.680000e+002,3.960000e+002,274,3.260233e-001,6.262744e+002,8.112379e+001,1.486501e+001,5.409728e-001,9.612696e+001,1.445255e+000,1.574747e+000,6.653740e-001
4,L,6.434186e+000,1.025771e+001,1.490000e+002,9.000000e+001,66,3.019135e-001,6.527268e+002,7.685681e+001,1.409353e+001,3.953280e-001,8.865342e+001,1.363636e+000,1.606366e+000,6.318454e-001
4,M,4.191970e+000,1.025771e+001,1.830000e+002,2.400000e+001,43,1.965892e-001,4.511599e+002,7.454195e+001,1.319333e+001,2.522888e-001,4.057171e+001,5.581395e-001,1.980429e+000,5.469465e-001
4,N,4.991369e+001,1.025771e+001,5.620000e+002,7.540000e+002,512,3.727859e-001,5.629988e+002,9.238649e+001,1.981882e+001,6.456925e-001,1.339183e+002,1.472656e+000,1.350647e+000,7.182364e-001
4,O,4.757398e+001,1.025771e+001,5.350000e+002,7.350000e+002,488,4.416049e-001,4.686305e+002,9.808151e+001,3.030007e+001,7.855287e-001,1.527904e+002,1.506148e+000,1.392919e+000,7.037140e-001
4,P,3.802019e+000,1.025771e+001,1.840000e+002,3.100000e+001,39,2.961461e-001,2.460650e+002,6.532531e+001,1.387769e+001,5.839335e-001,4.822080e+001,7.948718e-001,1.768244e+000,5.885472e-001
5,A,3.119606e+000,1.025771e+001,2.570000e+002,5.000000e+001,32,2.944383e-001,4.197440e+002,7.340588e+001,1.422210e+001,7.629221e-001,7.301776e+001,1.562500e+000,1.920807e+000,5.427829e-001
5,B,1.579300e+001,1.025771e+001,2.080000e+002,3.080000e+002,162,5.106589e-001,5.981943e+002,1.076932e+002,3.908906e+001,6.523528e-001,1.783732e+002,1.901235e+000,1.318490e+000,7.530947e-001
5,C,1.657290e+000,1.025771e+001,1.380000e+002,8.000000e+000,17,3.387604e-001,3.538890e+002,8.081201e+001,2.136210e+001,2.069231e-001,9.200000e+001,4.705882e-001,1.809256e+000,6.336497e-001
